patrick	36dahx_c	6.3.5.4	R00483, R00578	cid10374588	[[[["36dahx_c", 1], ["atp_c", 1], ["nh4_c", 1]], [["amp_c", 1], ["cid10374588", 1], ["ppi_c", 1]]], [[["36dahx_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["cid10374588", 1], ["glu__D_c", 1], ["ppi_c", 1]]], [[["36dahx_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["cid10374588", 1], ["glu__L_c", 1], ["ppi_c", 1]]]]
patrick	3hpp_c	2.6.1.85	R01716	cid4145140	[[[["3hpp_c", 1], ["4adcho_c", 1]], [["chor_c", 1], ["cid4145140", 1]]]]
patrick	3hpp_c	4.3.2.10	R00256, R04558	cid4145140	[[[["3hpp_c", 1], ["nh4_c", 1]], [["cid4145140", 1], ["h2o_c", 1]]], [[["3hpp_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid4145140", 1], ["prlp_c", 1]]]]
patrick	3hpp_c	6.3.5.4	R00256, R00578	cid4145140	[[[["3hpp_c", 1], ["nh4_c", 1]], [["cid4145140", 1], ["h2o_c", 1]]], [[["3hpp_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid4145140", 1], ["h2o_c", 1]]]]
patrick	3hpppn_c	2.6.1.85	R01716	cid19611692	[[[["3hpppn_c", 1], ["4adcho_c", 1]], [["chor_c", 1], ["cid19611692", 1]]]]
patrick	3hpppn_c	4.3.2.10	R00256, R04558	cid19611692	[[[["3hpppn_c", 1], ["nh4_c", 1]], [["cid19611692", 1], ["h2o_c", 1]]], [[["3hpppn_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid19611692", 1], ["prlp_c", 1]]]]
patrick	3hpppn_c	6.3.5.4	R00256, R00578	cid19611692	[[[["3hpppn_c", 1], ["nh4_c", 1]], [["cid19611692", 1], ["h2o_c", 1]]], [[["3hpppn_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid19611692", 1], ["h2o_c", 1]]]]
patrick	3mob_c	2.6.1.66	R01215	val__L_c	[[[["3mob_c", 1], ["ala__D_c", 1]], [["pyr_c", 1], ["val__L_c", 1]]], [[["3mob_c", 1], ["ala__L_c", 1]], [["pyr_c", 1], ["val__L_c", 1]]]]
patrick	4abut_c	2.6.1.85	R01716	cid18615	[[[["4abut_c", 1], ["4adcho_c", 1]], [["chor_c", 1], ["cid18615", 1]]]]
patrick	4abut_c	4.3.2.10	R00256, R04558	cid18615	[[[["4abut_c", 1], ["nh4_c", 1]], [["cid18615", 1], ["h2o_c", 1]]], [[["4abut_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid18615", 1], ["prlp_c", 1]]]]
patrick	4abut_c	6.3.5.4	R00256, R00578	cid18615	[[[["4abut_c", 1], ["nh4_c", 1]], [["cid18615", 1], ["h2o_c", 1]]], [[["4abut_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid18615", 1], ["h2o_c", 1]]]]
patrick	4adcho_c	2.6.1.85	R01716	chor_c	[[[["4adcho_c", 1], ["glu__D_c", 1]], [["chor_c", 1], ["gln__L_c", 1]]], [[["4adcho_c", 1], ["glu__L_c", 1]], [["chor_c", 1], ["gln__L_c", 1]]]]
patrick	5aop_c	2.6.1.85	R01716	cid10307862	[[[["4adcho_c", 1], ["5aop_c", 1]], [["chor_c", 1], ["cid10307862", 1]]]]
patrick	5aop_c	4.3.2.10	R00256, R04558	cid10307862	[[[["5aop_c", 1], ["nh4_c", 1]], [["cid10307862", 1], ["h2o_c", 1]]], [[["5aop_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid10307862", 1], ["prlp_c", 1]]]]
patrick	5aop_c	6.3.5.4	R00256, R00578	cid10307862	[[[["5aop_c", 1], ["nh4_c", 1]], [["cid10307862", 1], ["h2o_c", 1]]], [[["5aop_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid10307862", 1], ["h2o_c", 1]]]]
patrick	LalaDglu_c, LalaLglu_c	2.6.1.85	R01716	cid123935	[[[["4adcho_c", 1], ["LalaDglu_c", 1]], [["chor_c", 1], ["cid123935", 1]]], [[["4adcho_c", 1], ["LalaLglu_c", 1]], [["chor_c", 1], ["cid123935", 1]]]]
patrick	LalaDglu_c, LalaLglu_c	4.3.2.10	R00256, R04558	cid123935	[[[["LalaDglu_c", 1], ["nh4_c", 1]], [["cid123935", 1], ["h2o_c", 1]]], [[["LalaLglu_c", 1], ["nh4_c", 1]], [["cid123935", 1], ["h2o_c", 1]]], [[["LalaDglu_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid123935", 1], ["prlp_c", 1]]], [[["LalaLglu_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid123935", 1], ["prlp_c", 1]]]]
patrick	LalaDglu_c, LalaLglu_c	6.3.5.4	R00256, R00578	cid123935	[[[["LalaDglu_c", 1], ["nh4_c", 1]], [["cid123935", 1], ["h2o_c", 1]]], [[["LalaLglu_c", 1], ["nh4_c", 1]], [["cid123935", 1], ["h2o_c", 1]]], [[["LalaDglu_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid123935", 1], ["h2o_c", 1]]], [[["LalaLglu_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid123935", 1], ["h2o_c", 1]]]]
patrick	S2hglut_c	2.6.1.85	R01716	cid10103306	[[[["4adcho_c", 1], ["S2hglut_c", 1]], [["chor_c", 1], ["cid10103306", 1]]]]
patrick	S2hglut_c	4.3.2.10	R00256, R04558	cid10103306	[[[["S2hglut_c", 1], ["nh4_c", 1]], [["cid10103306", 1], ["h2o_c", 1]]], [[["S2hglut_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid10103306", 1], ["prlp_c", 1]]]]
patrick	S2hglut_c	6.3.5.4	R00256, R00578	cid10103306	[[[["S2hglut_c", 1], ["nh4_c", 1]], [["cid10103306", 1], ["h2o_c", 1]]], [[["S2hglut_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid10103306", 1], ["h2o_c", 1]]]]
patrick	aicar_c	4.3.2.10	R04558	prlp_c	[[[["aicar_c", 1], ["eig3p_c", 1], ["glu__D_c", 1]], [["gln__L_c", 1], ["prlp_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["glu__L_c", 1]], [["gln__L_c", 1], ["prlp_c", 1]]]]
patrick	ala_B_c	2.6.1.85	R01716	C19779	[[[["4adcho_c", 1], ["ala_B_c", 1]], [["C19779", 1], ["chor_c", 1]]]]
patrick	ala_B_c	4.3.2.10	R00256, R04558	C19779	[[[["ala_B_c", 1], ["nh4_c", 1]], [["C19779", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["ala_B_c", 1], ["eig3p_c", 1]], [["C19779", 1], ["prlp_c", 1]]]]
